BAT1:1
C1:1
C10:1
C11:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
EXT1:1
G***:4
GnRF:1
IC1:1
IMU1:1
LDO1:1
LED1:1
LED2:1
MAG1:1
PROG1:1
R1:1
R10:1
R11:1
R16:1
R17:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RST1:1
S1:1
USB1:1
nRF1:1
